台灣數位,#genre#
衛視電影台,P2p://sdgdklwos.finetv.tv:9906/59fd0369000ea5750221d12f32a532b8#p8p://0198.02686.cc:16871/5d1a69d0000743f711be4b7d2b320c30.ts#P2p://47.115.141.24:29956/5eb707ae000e98f849f955fbdf72404c#P2p://51.79.41.138:18912/5c2dd76a000ca61428b0cb280cd7dc33.ts
緯來電影,P2p://sdgdklwos.finetv.tv:9906/59fd1feb0003d7be02912a31740004af
東森電影台,P2p://sdgdklwos.finetv.tv:9906/59fd0cab0008230a0245f94a229777bd#p8p://0198.02686.cc:16871/5d1a69af0009735f11bdcb2402d2abda.ts#tvbus://4JYzMG4LN9stqwmmHSYBrR5wJTruGvbZqJwAq2vWHGHex9TmRh
東森洋片台,P2p://sdgdklwos.finetv.tv:9906/59fd17860002b83302705f6a03a560d2#P2p://51.79.41.138:18912/5b14092300021ad1240ce9a4ab22a554.ts#tvbus://4GGbsZaCaQq1aHdBViJw6aLHTUUeBpQ4d4XBj8BfkPp37ftrAN#
緯來電影台,P2p://sdgdklwos.finetv.tv:9906/59fd1feb0003d7be02912a31740004af#P2p://47.115.141.24:29956/5eb707b6000dd25449f97508703421bb#P2p://51.79.41.138:18912/5b140922000ebd5b3f284abb13900135.ts
龍祥電影台,P2p://sdgdklwos.finetv.tv:9906/59fd0d3200071b6e02480863224e5f4d#P2p://47.115.141.24:29956/5eb707ae000b288249f9551ae57b396e
好莱坞电影,P2p://sdgdklwos.finetv.tv:9906/5a141b66000b4be65f90135822b40e43#P2p://47.115.141.24:29956/5eb707ae0008930d49f95471c4a9ac57#P2p://51.79.41.138:18912/5b1409f3000c1df554ed7fe3ccbfb5e2.ts
衛視西片台,P2p://sdgdklwos.finetv.tv:9906/59fd1475000301e1026465123e2e3650#P2p://47.115.141.24:29956/5eb707ae000c046949f955522554ee3b
HBO,P2p://sdgdklwos.finetv.tv:9906/59fd1566000391610268129978510d8e#P2p://51.79.41.138:18912/5b140969000be13c7a154687d38b602f.ts#P2p://51.79.41.138:18912/5b140969000be13c7a154687d38b602f.ts
AXN,P2p://sdgdklwos.finetv.tv:9906/59fd2573000c0b9e02a6c794631510c8#http://saka07.fansmestar.com/ch067/playlist.m3u8#tvbus://4XYR3iE6kxEzCUJdX9wH9QwbanGsRiGxnDcQDFe3zonYqTcRoX
FOX Movies,P2p://51.79.41.138:18912/5b7267ae000b9c6cc8d1f482905d7e3f.ts#P2p://51.79.41.138:18912/5b140977000ab01d63c50737f92c9a8c.ts
